rank,track_artist,peak,prev,streak,streams,track_name,artist_name,duration_ms,explicit,is_local,release_date,artist_id,track_id
55,"God Was Showing Off
Bruno Mars",55,,1,13189931,God Was Showing Off,Bruno Mars,211063,False,False,2026-02-27,0du5cEVh5yTK9QJze8zA0C,1sVBT215CDmVJvfy1E2OCU
56,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",17,36.0,5,13152234,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",191018,True,False,2024-11-15,1mcTU81TzQhprhouKaTkpq,0l0vcZMU7AOeQmUIREoI2U
57,"Cuando No Era Cantante
El Bogueto, Yung Beef",18,51.0,20,13125639,Cuando No Era Cantante,"El Bogueto, Yung Beef",327488,True,False,2025-12-10,3S9Hg7sRKhmtWunFZ2yAYP,2pbSCYzxrG0wa6qcj8IyiE
58,"Espresso
Sabrina Carpenter",1,44.0,99,13085654,Espresso,Sabrina Carpenter,175459,True,False,2024-08-23,74KM79TiuVKeVCqs8QtB0B,2HRqTpkrJO5ggZyyK6NPWz
59,"Gabriela
KATSEYE",10,37.0,37,13084946,Gabriela,KATSEYE,197226,False,False,2025-06-20,3c0gDdb9lhnHGFtP4prQpn,1xOqGUkyxGQRdCvGpvWKmL
60,"Dreams - 2004 Remaster
Fleetwood Mac",20,62.0,54,12938199,Dreams - 2004 Remaster,Fleetwood Mac,257800,False,False,1977-02-04,08GQAI4eElDnROBrJRGE0X,0ofHAoxe9vBkTCp2UQIavz
61,"Who
Jimin",1,59.0,85,12716099,Who,Jimin,170887,False,False,2024-07-19,1oSPZhvZMIrWW5I41kPkkY,7tI8dRuH2Yc6RuoTjxo4dU
62,"dopamina
Peso Pluma, Tito Double P",13,58.0,10,12605852,dopamina,"Peso Pluma, Tito Double P",185326,True,False,2025-12-25,12GqGscKJx3aE4t07u7eVZ,3e32UUqXzrI4g2y5kNZrwC
63,"JUMP
BLACKPINK",1,,1,12463397,JUMP,BLACKPINK,164718,False,False,2025-07-11,41MozSoPIsD1dJM0CLPjZF,5H1sKFMzDeMtXwND3V6hRY
64,"Starboy
The Weeknd, Daft Punk",1,61.0,197,12423058,Starboy,"The Weeknd, Daft Punk",230453,True,False,2016-11-25,1Xyo4u8uXC1ZmMpatF05PJ,7MXVkk9YMctZqd1Srtv4MB
